Market dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
  camstyle  |   751 |    64680
Epoch: [0][1/40]	Time 10.714 (10.714)	Data 1.162 (1.162)	Loss 13.238 (13.238)	Prec 0.00% (0.00%)	
Epoch: [0][2/40]	Time 1.034 (5.874)	Data 0.008 (0.585)	Loss 13.188 (13.213)	Prec 0.63% (0.31%)	
Epoch: [0][3/40]	Time 0.616 (4.121)	Data 0.008 (0.392)	Loss 13.236 (13.221)	Prec 0.00% (0.21%)	
Epoch: [0][4/40]	Time 0.612 (3.244)	Data 0.007 (0.296)	Loss 13.146 (13.202)	Prec 0.63% (0.31%)	
Epoch: [0][5/40]	Time 0.606 (2.716)	Data 0.007 (0.238)	Loss 13.194 (13.200)	Prec 0.31% (0.31%)	
Epoch: [0][6/40]	Time 0.615 (2.366)	Data 0.007 (0.200)	Loss 13.273 (13.212)	Prec 0.63% (0.36%)	
Epoch: [0][7/40]	Time 0.611 (2.115)	Data 0.007 (0.172)	Loss 13.157 (13.205)	Prec 1.88% (0.58%)	
Epoch: [0][8/40]	Time 0.611 (1.927)	Data 0.007 (0.152)	Loss 13.187 (13.202)	Prec 2.50% (0.82%)	
Epoch: [0][9/40]	Time 0.611 (1.781)	Data 0.007 (0.136)	Loss 12.792 (13.157)	Prec 1.56% (0.90%)	
Epoch: [0][10/40]	Time 0.613 (1.664)	Data 0.007 (0.123)	Loss 12.907 (13.132)	Prec 2.81% (1.09%)	
Epoch: [0][11/40]	Time 0.610 (1.568)	Data 0.007 (0.112)	Loss 12.776 (13.100)	Prec 3.75% (1.34%)	
Epoch: [0][12/40]	Time 0.610 (1.489)	Data 0.007 (0.104)	Loss 12.905 (13.083)	Prec 4.69% (1.61%)	
Epoch: [0][13/40]	Time 0.608 (1.421)	Data 0.007 (0.096)	Loss 12.276 (13.021)	Prec 7.50% (2.07%)	
Epoch: [0][14/40]	Time 0.610 (1.363)	Data 0.007 (0.090)	Loss 12.066 (12.953)	Prec 4.37% (2.23%)	
Epoch: [0][15/40]	Time 0.613 (1.313)	Data 0.007 (0.084)	Loss 12.593 (12.929)	Prec 4.06% (2.35%)	
Epoch: [0][16/40]	Time 0.617 (1.269)	Data 0.007 (0.080)	Loss 12.506 (12.902)	Prec 4.06% (2.46%)	
Epoch: [0][17/40]	Time 0.622 (1.231)	Data 0.007 (0.075)	Loss 11.849 (12.840)	Prec 3.12% (2.50%)	
Epoch: [0][18/40]	Time 0.612 (1.197)	Data 0.007 (0.072)	Loss 12.183 (12.804)	Prec 6.88% (2.74%)	
Epoch: [0][19/40]	Time 0.612 (1.166)	Data 0.007 (0.068)	Loss 11.566 (12.739)	Prec 8.44% (3.04%)	
Epoch: [0][20/40]	Time 0.612 (1.138)	Data 0.007 (0.065)	Loss 11.726 (12.688)	Prec 7.50% (3.27%)	
Epoch: [0][21/40]	Time 0.609 (1.113)	Data 0.007 (0.062)	Loss 11.489 (12.631)	Prec 7.50% (3.47%)	
Epoch: [0][22/40]	Time 0.608 (1.090)	Data 0.007 (0.060)	Loss 10.669 (12.542)	Prec 11.56% (3.84%)	
Epoch: [0][23/40]	Time 0.612 (1.069)	Data 0.007 (0.058)	Loss 11.237 (12.485)	Prec 11.25% (4.16%)	
Epoch: [0][24/40]	Time 0.614 (1.051)	Data 0.007 (0.055)	Loss 10.573 (12.405)	Prec 14.06% (4.57%)	
Epoch: [0][25/40]	Time 0.611 (1.033)	Data 0.007 (0.054)	Loss 10.934 (12.347)	Prec 15.94% (5.03%)	
Epoch: [0][26/40]	Time 0.612 (1.017)	Data 0.007 (0.052)	Loss 9.960 (12.255)	Prec 14.69% (5.40%)	
Epoch: [0][27/40]	Time 0.610 (1.002)	Data 0.007 (0.050)	Loss 10.121 (12.176)	Prec 13.44% (5.69%)	
Epoch: [0][28/40]	Time 0.609 (0.988)	Data 0.007 (0.049)	Loss 10.477 (12.115)	Prec 13.44% (5.97%)	
Epoch: [0][29/40]	Time 0.630 (0.975)	Data 0.007 (0.047)	Loss 9.767 (12.034)	Prec 16.88% (6.35%)	
Epoch: [0][30/40]	Time 0.638 (0.964)	Data 0.007 (0.046)	Loss 9.743 (11.958)	Prec 15.62% (6.66%)	
Epoch: [0][31/40]	Time 0.610 (0.953)	Data 0.007 (0.045)	Loss 9.145 (11.867)	Prec 15.31% (6.94%)	
Epoch: [0][32/40]	Time 0.610 (0.942)	Data 0.007 (0.043)	Loss 10.480 (11.824)	Prec 14.37% (7.17%)	
Epoch: [0][33/40]	Time 0.616 (0.932)	Data 0.007 (0.042)	Loss 9.174 (11.743)	Prec 19.06% (7.53%)	
Epoch: [0][34/40]	Time 0.610 (0.923)	Data 0.007 (0.041)	Loss 9.329 (11.672)	Prec 18.13% (7.84%)	
Epoch: [0][35/40]	Time 0.612 (0.914)	Data 0.007 (0.040)	Loss 8.545 (11.583)	Prec 18.75% (8.15%)	
Epoch: [0][36/40]	Time 0.611 (0.905)	Data 0.007 (0.039)	Loss 9.128 (11.515)	Prec 20.94% (8.51%)	
Epoch: [0][37/40]	Time 0.614 (0.897)	Data 0.007 (0.038)	Loss 9.005 (11.447)	Prec 24.38% (8.94%)	
Epoch: [0][38/40]	Time 0.609 (0.890)	Data 0.007 (0.038)	Loss 8.397 (11.367)	Prec 20.31% (9.24%)	
Epoch: [0][39/40]	Time 0.612 (0.883)	Data 0.007 (0.037)	Loss 8.347 (11.289)	Prec 24.69% (9.63%)	
Epoch: [0][40/40]	Time 0.610 (0.876)	Data 0.007 (0.036)	Loss 8.402 (11.217)	Prec 22.81% (9.96%)	

 * Finished epoch   0 

